name,code
Bersenbrück,03459010
Bersteland,12061017
Bertsdorf-Hörnitz,14626050
Berumbur,03452003
Berzhahn,07143209
Berzhausen,07132005
Bescheid,07235005
Beschendorf,01055006
Besdorf,01061011
Beselich,06533001
Besenthal,01053010
Beseritz,13071009
Besigheim,08118007
Besitz,13076010
Bessenbach,09671112
Bestensee,12061020
Bestwig,05958008
Betheln,03254007
Bethenhausen,16076006
Betteldorf,07233006
Bettendorf,07141012
Bettenfeld,07231009
Bettingen,07232013
Betzdorf,07132006
Betzendorf,03355008
Betzenstein,09472118
Betzenweiler,08426020
Betzigau,09780114
Beulich,07140201
Beuren,07135008
Beuren,08116011
Beuren (Hochwald),07235008
Beuron,08437005
Beutelsbach,09275117
Bevern,01056003
Bevern,03255002
Beverstedt,03352059
Beverungen,05762008
Bexbach,10045111
Biberach,08317011
Biberach an der Riß,08426021
Biberbach,09772121
Bibertal,09774119
Biblis,06431003
Bibow,13074006
Bibra,16074004
Biburg,09273119
Bichl,09173115
Bickenbach,06432003
Bickenbach,07140014
Bickendorf,07232014
Bidingen,09777118
Biebelnheim,07331010
Biebelried,09675113
Biebelsheim,07133012
Bieberehren,09679118
Biebergemünd,06435003
Biebern,07140015
Biebertal,06531002
Biebesheim am Rhein,06433001
Biebrich,07141013
Biedenkopf,06534004
Biederbach,08316003
Biederitz,15086005
Biedershausen,07340204
Biedesheim,07333006
Bielefeld,05711000
Biendorf,13072014
Bienenbüttel,03360004
Bienstädt,16067004
Biersdorf am See,07232015
Biesdorf,07232016
Biesenthal,12060024
Biessenhofen,09777112
Bietigheim,08216005
Bietigheim-Bissingen,08118079
Bilkheim,07143210
Billerbeck,05558008
Billigheim,08225009
Billigheim-Ingenheim,07337007
Bilsen,01056004
Bilshausen,03152002
Bilzingsleben,16068004
Bimöhlen,01060009
Binau,08225010
Bindlach,09472119
Bingen,08437008
Bingen am Rhein,07339005
Binnen,03256002
Binningen,07135009
Binsfeld,07231010
Binswangen,09773116
